label,name,notice,furigana
資源ごみ（紙類、古着布類、ペットボトル、容プラ）,容器包装プラスチック,※汚れが落ちないものは一般ごみへ「プラマーク」を目印に分別してください。 種類ごとに分けずにまとめて透明又は半透明のごみ袋に入れてください。対象外のものおもちゃ、文具、ＣＤなど商品そのものがプスチック製のものペットボトルなどその他の資源ごみ,ぷ
燃やす一般ごみ,汚れの落ちない容器包装プラスチック,,ぷ
燃やす粗大ごみ,袋に入らない大きなプラスチック・ビニール製品など※家電製品のうち電気毛布、電気カーペットも含みます。,,ぷ
資源ごみ（ペットボトル、空きびん、空き缶、容プラ）,容器包装プラスチック,※汚れが落ちないものは一般ごみへ「プラマーク」を目印に分別してください。 種類ごとに分けずにまとめて透明又は半透明のごみ袋に入れてください。対象外のものおもちゃ、文具、ＣＤなど商品そのものがプスチック製のものペットボトルなどその他の資源ごみ,ぷ
容プラ,容器包装プラスチック,※汚れが落ちないものは一般ごみへ「プラマーク」を目印に分別してください。 種類ごとに分けずにまとめて透明又は半透明のごみ袋に入れてください。対象外のものおもちゃ、文具、ＣＤなど商品そのものがプスチック製のものペットボトルなどその他の資源ごみ,ぷ
資源ごみ（紙類、古着布類、ペットボトル、容プラ）,ペットボトル（リサイクルマークのあるもの）,中を必ず洗い、ふたをはずしてください。ラベルははずして分別してください,へ
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,ペットボトル（リサイクルマークのあるもの）,中を必ず洗い、ふたをはずしてください。ラベルははずして分別してください,ぺ
資源ごみ（ペットボトル、空きびん、空き缶、容プラ）,ペットボトル（リサイクルマークのあるもの）,中を必ず洗い、ふたをはずしてください。ラベルははずして分別してください,ぺ
資源ごみ（紙類、古着布類、ペットボトル、容プラ）,包装紙,「雑誌・チラシ・厚紙」とあわせて出してください。,ほ
燃やす一般ごみ,保冷材,,ほ
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,包装紙,「雑誌・チラシ・厚紙」とあわせて出してください。,ほ
資源ごみ（紙類、古着布類、容プラ）,包装紙,「雑誌・チラシ・厚紙」とあわせて出してください。,ほ
燃やす粗大ごみ,マットレス,できるだけ金属の部分ははずしてください。,ま
資源ごみ（紙類、古着布類、ペットボトル、容プラ）,毛布,透明又は半透明のビニール袋に入れて出してください。,も
燃やす粗大ごみ,木製家具類,できるだけ金属の部分ははずしてください。,も
燃やす粗大ごみ,※木製、プラスチック、ゴム、可燃繊維類の素材のもの,できるだけ金属の部分ははずしてください。,も
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,毛布,透明又は半透明のビニール袋に入れて出してください。,も
資源ごみ（紙類、古着布類、容プラ）,毛布,透明又は半透明のビニール袋に入れて出してください。,も
資源ごみ（空きびん、空き缶、容プラ）,容器包装プラスチック,※汚れが落ちないものは一般ごみへ「プラマーク」を目印に分別してください。 種類ごとに分けずにまとめて透明又は半透明のごみ袋に入れてください。対象外のものおもちゃ、文具、ＣＤなど商品そのものがプスチック製のものペットボトルなどその他の資源ごみ,よ
資源ごみ（紙類、古着布類、ペットボトル、容プラ）,洋服,透明又は半透明のビニール袋に入れて出してください。,よ
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,洋服,透明又は半透明のビニール袋に入れて出してください。,よ
資源ごみ（紙類、古着布類、容プラ）,容器包装プラスチック,※汚れが落ちないものは一般ごみへ「プラマーク」を目印に分別してください。 種類ごとに分けずにまとめて透明又は半透明のごみ袋に入れてください。対象外のものおもちゃ、文具、ＣＤなど商品そのものがプスチック製のものペットボトルなどその他の資源ごみ,よ
資源ごみ（紙類、古着布類、容プラ）,洋服,透明又は半透明のビニール袋に入れて出してください。,よ
資源ごみ（ペットボトル、空きびん、空き缶、容プラ）,容器包装プラスチック,※汚れが落ちないものは一般ごみへ「プラマーク」を目印に分別してください。 種類ごとに分けずにまとめて透明又は半透明のごみ袋に入れてください。対象外のものおもちゃ、文具、ＣＤなど商品そのものがプスチック製のものペットボトルなどその他の資源ごみ,よ
燃えないごみ,ライター,ライターは最後まで使い切って、それぞれ他のごみと区別してください。 ,ら
資源ごみ（紙類、古着布類、ペットボトル、容プラ）,和服,透明又は半透明のビニール袋に入れて出してください。,わ
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,和服,透明又は半透明のビニール袋に入れて出してください。,わ
資源ごみ（紙類、古着布類、容プラ）,和服,透明又は半透明のビニール袋に入れて出してください。,わ
